agg_concurrency,per_stream,create_avg_ms,p95_ms,success_pct,errors
100,33,74.471,101.589,100.0,0
110,36,77.113,102.805,100.0,0
120,40,81.996,120.182,100.0,0
130,43,85.125,119.966,100.0,0
140,46,86.743,122.790,100.0,0
150,50,85.430,114.238,100.0,0
160,53,90.353,130.749,100.0,0
170,56,98.703,135.271,100.0,0
180,60,100.087,139.482,100.0,0
190,63,113.557,152.901,100.0,0
200,66,114.657,149.199,100.0,0
210,70,126.828,170.529,100.0,0
220,73,132.390,181.103,100.0,0
230,76,138.616,180.757,100.0,0
240,80,140.267,185.581,100.0,0
250,83,154.547,210.576,100.0,0
260,86,160.793,208.696,100.0,0
270,90,171.405,230.151,100.0,0
280,93,179.978,237.786,100.0,0
290,96,183.386,243.637,100.0,0
300,100,188.032,250.736,100.0,0
310,103,198.091,265.260,100.0,0
320,106,204.653,264.528,100.0,0
330,110,204.563,263.400,100.0,0
340,113,215.562,276.377,100.0,0
350,116,219.878,278.851,100.0,0
