concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,81.3,73.0,129.9,151.8,128.9,365.7,100,0
110,1100,88.4,82.6,143.9,161.0,130.0,398.3,100,0
120,1200,93.0,90.9,134.9,150.6,133.9,418.1,100,0
130,1300,94.4,88.8,155.2,183.3,124.1,465.5,100,0
140,1400,91.6,86.5,143.2,172.8,141.9,468.7,100,0
150,1500,95.8,91.1,154.2,193.4,125.3,532.0,100,0
160,1600,98.7,95.4,147.4,180.8,126.1,565.4,100,0
170,1700,101.1,97.5,147.3,182.4,131.0,571.8,100,0
180,1800,112.7,104.4,200.1,224.2,134.6,577.6,100,0
190,1900,115.2,110.7,176.2,200.2,146.5,570.4,100,0
200,2000,120.5,115.9,181.6,222.4,138.5,615.2,100,0
210,2100,131.2,126.2,192.3,230.4,153.3,608.7,100,0
220,2200,133.2,128.9,203.9,226.3,152.0,605.8,100,0
230,2300,139.2,136.7,199.5,223.0,158.2,619.5,100,0
240,2400,151.3,149.1,227.1,246.3,164.6,623.6,100,0
250,2500,156.4,156.5,218.9,248.9,165.2,643.5,100,0
260,2600,162.9,160.8,222.1,249.7,176.0,643.1,100,0
270,2700,168.1,166.8,231.6,264.7,171.0,673.8,100,0
280,2800,181.4,183.1,237.4,272.4,182.2,649.0,100,0
290,2900,190.4,190.0,256.7,285.8,186.9,648.5,100,0
300,3000,187.3,191.1,248.7,303.8,193.8,669.2,100,0
310,3100,201.5,202.9,270.4,305.8,207.3,641.4,100,0
320,3200,202.4,202.3,261.0,308.3,201.6,668.9,100,0
330,3300,211.9,217.7,301.7,328.3,223.2,647.6,100,0
340,3400,220.8,228.4,296.5,325.9,227.4,650.5,100,0
350,3500,237.0,237.4,309.8,356.2,222.5,654.5,100,0
