concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,81.9,77.5,145.0,161.3,125.1,361.3,100,0
110,1100,80.3,74.2,118.5,136.2,113.9,424.6,100,0
120,1200,87.4,82.1,138.4,148.3,116.7,445.1,100,0
130,1300,89.8,83.1,146.4,155.0,119.9,478.4,100,0
140,1400,92.9,89.1,142.5,167.6,122.8,510.5,100,0
150,1500,99.4,97.9,154.9,180.4,122.3,520.4,100,0
160,1600,99.8,93.1,157.2,185.0,128.3,559.8,100,0
170,1700,110.2,110.7,168.2,191.0,137.8,533.5,100,0
180,1800,112.2,107.5,167.9,206.6,133.4,581.4,100,0
190,1900,114.7,112.5,169.5,196.2,138.7,587.6,100,0
200,2000,124.6,124.4,178.9,219.5,147.1,602.2,100,0
210,2100,128.8,128.1,186.5,214.8,149.0,599.1,100,0
220,2200,139.3,140.2,209.1,242.7,156.9,591.4,100,0
230,2300,142.3,143.4,209.3,233.5,160.2,614.7,96.3,85
240,2400,149.3,146.6,225.1,245.4,167.9,623.7,96.3,88
250,2500,154.9,154.2,224.6,253.4,168.9,635.7,99.3,17
260,2600,160.8,158.3,231.8,257.4,173.2,622.9,93.3,175
270,2700,172.0,171.1,241.1,274.7,176.7,637.0,95.5,122
280,2800,175.2,174.9,244.6,270.2,182.7,643.2,94.0,168
290,2900,179.9,176.7,258.0,283.4,184.9,665.7,94.1,172
300,3000,192.9,191.3,257.1,299.6,190.7,588.3,96.2,114
310,3100,202.4,203.5,287.7,314.4,197.8,647.0,95.5,141
320,3200,207.5,207.1,281.5,311.4,200.6,663.0,98.6,44
330,3300,213.8,218.6,287.1,324.8,219.7,646.7,97.5,81
340,3400,214.4,224.6,296.1,326.4,233.2,658.2,92.9,241
350,3500,226.8,234.9,310.5,347.4,234.6,651.1,92.4,265
