concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,77.4,75.2,122.9,133.6,122.5,374.1,100,0
110,1100,80.0,75.7,127.9,151.5,114.0,430.3,100,0
120,1200,81.7,74.7,132.3,155.1,112.5,460.2,100,0
130,1300,87.0,83.2,133.3,165.3,118.2,484.0,100,0
140,1400,89.6,85.7,136.6,157.2,120.8,501.8,100,0
150,1500,96.2,88.9,154.6,180.8,124.3,534.1,100,0
160,1600,103.1,101.1,153.5,186.6,128.2,466.7,100,0
170,1700,107.3,102.7,165.6,185.0,136.3,469.4,100,0
180,1800,109.7,103.2,175.8,197.9,132.6,589.9,100,0
190,1900,124.3,122.8,187.5,212.7,139.4,584.5,100,0
200,2000,127.7,124.7,191.0,217.3,144.4,578.5,100,0
210,2100,127.5,124.2,186.3,221.2,152.1,608.3,100,0
220,2200,132.6,128.9,189.9,246.1,150.4,620.4,100,0
230,2300,143.3,141.0,215.0,254.3,160.6,617.0,100,0
240,2400,145.3,142.5,209.2,257.1,164.5,551.3,100,0
250,2500,155.1,155.6,230.7,260.2,171.0,630.0,100,0
260,2600,160.2,159.5,226.6,258.6,171.0,642.0,100,0
270,2700,167.5,167.6,237.5,260.8,177.1,653.4,100,0
280,2800,176.1,183.1,260.2,284.4,196.8,635.4,100,0
290,2900,182.7,178.6,257.1,297.7,182.0,671.0,100,0
300,3000,183.8,184.9,253.5,286.9,190.3,671.1,100,0
310,3100,198.0,206.6,269.3,308.5,208.1,654.2,100,0
320,3200,201.0,202.6,274.6,307.2,211.4,658.5,100,0
330,3300,206.8,204.3,292.3,318.5,214.3,667.5,100,0
340,3400,217.2,222.0,297.0,329.6,224.3,667.5,100,0
350,3500,227.5,230.8,307.0,360.6,224.2,659.9,100,0
