# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     7.19%          2856  redis-server     [kernel.vmlinux]  [k] _copy_to_iter
     5.11%          2043  redis-server     [kernel.vmlinux]  [k] do_raw_spin_lock
     4.77%          1892  redis-server     [kernel.vmlinux]  [k] __dev_xmit_skb
     4.62%          1837  redis-server     [nf_conntrack]    [k] __nf_conntrack_find_get
     3.03%          1202  redis-server     [kernel.vmlinux]  [k] update_sg_lb_stats
     2.47%           976  redis-server     [kernel.vmlinux]  [k] tasklet_action_common.constprop.0
     2.27%           910  redis-server     redis-server      [.] readQueryFromClient
     2.10%           834  redis-server     [kernel.vmlinux]  [k] perf_adjust_freq_unthr_context
     2.07%           825  redis-server     libc.so.6         [.] __memmove_avx512_unaligned_erms
     1.98%           787  redis-server     [kernel.vmlinux]  [k] skb_attempt_defer_free
     1.92%           773  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg_locked
     1.60%           629  redis-server     [kernel.vmlinux]  [k] sock_poll
     1.42%           564  redis-server     [kernel.vmlinux]  [k] check_preemption_disabled
     1.41%           557  redis-server     [kernel.vmlinux]  [k] memcpy
     1.17%           464  redis-server     [kernel.vmlinux]  [k] __fdget_pos
     1.08%           426  redis-server     [mlx5_core]       [k] 0x000000000005396d
     1.07%           432  redis-server     [kernel.vmlinux]  [k] tcp_rcv_space_adjust
     1.01%           391  redis-server     [kernel.vmlinux]  [k] __inet_lookup_established
     1.00%           394  redis-server     [kernel.vmlinux]  [k] sock_rfree
     0.89%           353  redis-server     [kernel.vmlinux]  [k] __tcp_transmit_skb
     0.76%           304  redis-server     [kernel.vmlinux]  [k] tcp_rcv_established
     0.75%           292  redis-server     [kernel.vmlinux]  [k] ep_poll
     0.72%           288  redis-server     [nf_conntrack]    [k] nf_conntrack_in
     0.72%           283  redis-server     [kernel.vmlinux]  [k] do_raw_read_lock
     0.69%           275  redis-server     [kernel.vmlinux]  [k] ep_send_events
     0.68%           269  redis-server     redis-server      [.] aeProcessEvents
     0.64%           256  redis-server     [kernel.vmlinux]  [k] idle_cpu
     0.64%           254  redis-server     [kernel.vmlinux]  [k] preempt_count_add
     0.62%           244  redis-server     [kernel.vmlinux]  [k] __list_del_entry_valid_or_report
     0.61%           245  redis-server     [kernel.vmlinux]  [k] tcp_poll
     0.59%           236  redis-server     [kernel.vmlinux]  [k] read_tsc
     0.59%           228  redis-server     [kernel.vmlinux]  [k] ep_poll_callback
     0.58%           226  redis-server     [mlx5_core]       [k] 0x000000000000ca60
     0.56%           220  redis-server     [kernel.vmlinux]  [k] skb_release_data
     0.50%           200  redis-server     [kernel.vmlinux]  [k] __tcp_send_ack.part.0
     0.50%           195  redis-server     [kernel.vmlinux]  [k] __wake_up_common
     0.48%           192  redis-server     [kernel.vmlinux]  [k] preempt_count_sub
     0.48%           189  redis-server     [kernel.vmlinux]  [k] net_rx_action
     0.45%           179  redis-server     [kernel.vmlinux]  [k] __skb_datagram_iter
     0.44%           172  redis-server     [kernel.vmlinux]  [k] tcp_queue_rcv
     0.43%           172  redis-server     [kernel.vmlinux]  [k] __ip_queue_xmit
     0.41%           161  redis-server     [kernel.vmlinux]  [k] do_raw_spin_unlock
     0.40%           162  redis-server     [nf_conntrack]    [k] nf_conntrack_tcp_packet
     0.39%           152  redis-server     [kernel.vmlinux]  [k] newidle_balance
     0.38%           152  redis-server     libc.so.6         [.] read
     0.37%           148  redis-server     [kernel.vmlinux]  [k] __mod_memcg_state
