# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Children      Self       Samples  Shared Object   
# ........  ........  ............  ................
#
    77.85%    77.85%         30909  [kernel.vmlinux]
     7.07%     7.07%          2817  redis-server    
     6.62%     6.62%          2644  [nf_conntrack]  
     4.26%     4.26%          1693  [mlx5_core]     
     3.14%     3.14%          1247  libc.so.6       
     0.54%     0.54%           214  [nf_nat]        
     0.49%     0.49%           196  [vdso]          
     0.04%     0.04%            18  [nf_defrag_ipv4]


#
# (Tip: Order by the overhead of source file name and line number: perf report -s srcline)
#
