# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     6.59%          3179  redis-server     [kernel.vmlinux]  [k] _copy_to_iter
     5.80%          2783  redis-server     [kernel.vmlinux]  [k] do_raw_spin_lock
     4.52%          2162  redis-server     [kernel.vmlinux]  [k] tasklet_action_common.constprop.0
     4.43%          2141  redis-server     [nf_conntrack]    [k] __nf_conntrack_find_get
     4.16%          2013  redis-server     [kernel.vmlinux]  [k] __dev_xmit_skb
     2.31%          1113  redis-server     redis-server      [.] readQueryFromClient
     2.09%          1007  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg_locked
     1.89%           908  redis-server     [kernel.vmlinux]  [k] skb_attempt_defer_free
     1.81%           870  redis-server     [kernel.vmlinux]  [k] sock_poll
     1.74%           844  redis-server     [kernel.vmlinux]  [k] perf_adjust_freq_unthr_context
     1.74%           839  redis-server     libc.so.6         [.] __memmove_avx512_unaligned_erms
     1.66%           793  redis-server     [mlx5_core]       [k] 0x000000000005396d
     1.39%           665  redis-server     [mlx5_core]       [k] 0x000000000004d238
     1.29%           620  redis-server     [kernel.vmlinux]  [k] check_preemption_disabled
     1.20%           579  redis-server     [kernel.vmlinux]  [k] tcp_rcv_space_adjust
     1.14%           550  redis-server     [kernel.vmlinux]  [k] do_raw_spin_trylock
     1.03%           500  redis-server     [kernel.vmlinux]  [k] memcpy
     1.00%           480  redis-server     [kernel.vmlinux]  [k] __tcp_transmit_skb
     0.92%           441  redis-server     [kernel.vmlinux]  [k] __fdget_pos
     0.88%           423  redis-server     [kernel.vmlinux]  [k] sock_rfree
     0.87%           419  redis-server     [kernel.vmlinux]  [k] __inet_lookup_established
     0.85%           411  redis-server     [kernel.vmlinux]  [k] __dev_queue_xmit
     0.82%           391  redis-server     [mlx5_core]       [k] 0x000000000000ca60
     0.78%           375  redis-server     [kernel.vmlinux]  [k] __list_del_entry_valid_or_report
     0.77%           367  redis-server     [nf_conntrack]    [k] nf_conntrack_in
     0.75%           361  redis-server     [kernel.vmlinux]  [k] tcp_rcv_established
     0.73%           353  redis-server     [kernel.vmlinux]  [k] do_raw_read_lock
     0.65%           313  redis-server     [kernel.vmlinux]  [k] tcp_poll
     0.61%           291  redis-server     [kernel.vmlinux]  [k] __sock_wfree
     0.59%           288  redis-server     [mlx5_core]       [k] 0x000000000004c122
     0.58%           278  redis-server     [kernel.vmlinux]  [k] __tcp_send_ack.part.0
     0.57%           277  redis-server     [kernel.vmlinux]  [k] ep_poll
     0.53%           256  redis-server     [kernel.vmlinux]  [k] ep_send_events
     0.52%           253  redis-server     [kernel.vmlinux]  [k] preempt_count_add
     0.52%           247  redis-server     [kernel.vmlinux]  [k] ep_poll_callback
     0.51%           244  redis-server     redis-server      [.] aeProcessEvents
     0.47%           228  redis-server     [kernel.vmlinux]  [k] preempt_count_sub
     0.44%           212  redis-server     [kernel.vmlinux]  [k] read_tsc
     0.43%           209  redis-server     [kernel.vmlinux]  [k] kmem_cache_alloc_node
     0.43%           208  redis-server     [kernel.vmlinux]  [k] __ip_queue_xmit
     0.43%           206  redis-server     [kernel.vmlinux]  [k] kmem_cache_free
     0.42%           205  redis-server     [mlx5_core]       [k] 0x000000000004be10
     0.42%           201  redis-server     [kernel.vmlinux]  [k] __skb_datagram_iter
     0.42%           199  redis-server     [kernel.vmlinux]  [k] net_rx_action
     0.41%           197  redis-server     [kernel.vmlinux]  [k] skb_release_data
     0.40%           189  redis-server     [kernel.vmlinux]  [k] ___slab_alloc
     0.40%           193  redis-server     [kernel.vmlinux]  [k] __tcp_cleanup_rbuf
     0.38%           184  redis-server     libc.so.6         [.] read
     0.38%           184  redis-server     [kernel.vmlinux]  [k] __siphash_unaligned
     0.36%           176  redis-server     [kernel.vmlinux]  [k] tcp_queue_rcv
     0.36%           174  redis-server     [kernel.vmlinux]  [k] do_raw_spin_unlock
     0.36%           172  redis-server     [mlx5_core]       [k] 0x00000000000527df
