# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'cycles'
# Event count (approx.): 98282321717
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     9.02%          3976  redis-server     [kernel.vmlinux]  [k] _copy_to_iter
     4.92%          2165  redis-server     [nf_conntrack]    [k] __nf_conntrack_find_get
     4.64%          2044  redis-server     [kernel.vmlinux]  [k] do_raw_spin_lock
     3.95%          1732  redis-server     [kernel.vmlinux]  [k] __dev_xmit_skb
     2.77%          1227  redis-server     redis-server      [.] readQueryFromClient
     2.38%          1055  redis-server     libc.so.6         [.] __memmove_avx512_unaligned_erms
     2.13%           942  redis-server     [kernel.vmlinux]  [k] tasklet_action_common.constprop.0
     2.12%           938  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg_locked
     2.10%           920  redis-server     [kernel.vmlinux]  [k] perf_adjust_freq_unthr_context
     2.00%           879  redis-server     [kernel.vmlinux]  [k] sock_poll
     1.98%           872  redis-server     [kernel.vmlinux]  [k] skb_attempt_defer_free
     1.55%           687  redis-server     [kernel.vmlinux]  [k] check_preemption_disabled
     1.33%           591  redis-server     [kernel.vmlinux]  [k] memcpy
     1.17%           519  redis-server     [kernel.vmlinux]  [k] __fdget_pos
     1.06%           473  redis-server     [kernel.vmlinux]  [k] __tcp_transmit_skb
     1.02%           450  redis-server     [kernel.vmlinux]  [k] __inet_lookup_established
     1.00%           441  redis-server     [kernel.vmlinux]  [k] sock_rfree
     0.95%           422  redis-server     [kernel.vmlinux]  [k] update_sg_lb_stats
     0.93%           416  redis-server     [kernel.vmlinux]  [k] tcp_rcv_space_adjust
     0.91%           403  redis-server     [kernel.vmlinux]  [k] ep_poll
     0.85%           373  redis-server     [kernel.vmlinux]  [k] do_raw_read_lock
     0.83%           362  redis-server     [kernel.vmlinux]  [k] tcp_rcv_established
     0.77%           341  redis-server     [nf_conntrack]    [k] nf_conntrack_in
     0.75%           329  redis-server     [mlx5_core]       [k] mlx5e_handle_rx_dim
     0.75%           325  redis-server     [kernel.vmlinux]  [k] __list_del_entry_valid_or_report
     0.73%           323  redis-server     [mlx5_core]       [k] mlx5_eq_comp_int
     0.66%           287  redis-server     [kernel.vmlinux]  [k] preempt_count_add
     0.65%           286  redis-server     [kernel.vmlinux]  [k] __wake_up_common
     0.61%           270  redis-server     [kernel.vmlinux]  [k] read_tsc
     0.60%           262  redis-server     [kernel.vmlinux]  [k] tcp_poll
     0.59%           258  redis-server     [kernel.vmlinux]  [k] ep_poll_callback
     0.59%           260  redis-server     [kernel.vmlinux]  [k] __tcp_send_ack.part.0
     0.59%           260  redis-server     redis-server      [.] aeProcessEvents
     0.55%           242  redis-server     [kernel.vmlinux]  [k] skb_release_data
     0.55%           246  redis-server     [kernel.vmlinux]  [k] ep_send_events
     0.52%           231  redis-server     [kernel.vmlinux]  [k] net_rx_action
     0.50%           224  redis-server     [kernel.vmlinux]  [k] preempt_count_sub
     0.49%           214  redis-server     [kernel.vmlinux]  [k] __skb_datagram_iter
     0.48%           211  redis-server     [mlx5_core]       [k] mlx5e_skb_from_cqe_mpwrq_linear
     0.48%           213  redis-server     redis-server      [.] 0x0000000000128414
     0.47%           204  redis-server     [kernel.vmlinux]  [k] do_raw_spin_unlock
     0.45%           202  redis-server     [kernel.vmlinux]  [k] __ip_queue_xmit
     0.42%           185  redis-server     [kernel.vmlinux]  [k] __siphash_unaligned
     0.42%           183  redis-server     redis-server      [.] zmalloc
     0.42%           187  redis-server     libc.so.6         [.] read
     0.41%           183  redis-server     [kernel.vmlinux]  [k] __mod_memcg_state
     0.40%           176  redis-server     [kernel.vmlinux]  [k] _copy_from_iter
     0.40%           177  redis-server     [kernel.vmlinux]  [k] __might_resched
     0.40%           175  redis-server     [nf_conntrack]    [k] nf_conntrack_tcp_packet
     0.40%           175  redis-server     [kernel.vmlinux]  [k] kmem_cache_alloc_node
     0.39%           174  redis-server     [kernel.vmlinux]  [k] tcp_queue_rcv
     0.37%           166  redis-server     [nf_conntrack]    [k] tcp_in_window
     0.37%           165  redis-server     [kernel.vmlinux]  [k] tcp_skb_entail
     0.37%           161  redis-server     [kernel.vmlinux]  [k] fput
     0.36%           160  redis-server     [kernel.vmlinux]  [k] ip_send_check
     0.36%           157  redis-server     [kernel.vmlinux]  [k] sock_put
     0.34%           151  redis-server     redis-server      [.] addReply
     0.33%           145  redis-server     [kernel.vmlinux]  [k] queued_spin_lock_slowpath
     0.32%           143  redis-server     [kernel.vmlinux]  [k] do_raw_read_unlock
     0.31%           136  redis-server     [kernel.vmlinux]  [k] ep_done_scan
     0.31%           137  redis-server     [kernel.vmlinux]  [k] vfs_read
     0.31%           133  redis-server     [kernel.vmlinux]  [k] tcp_ack
     0.30%           129  redis-server     [kernel.vmlinux]  [k] ep_item_poll.isra.0
     0.29%           134  redis-server     [kernel.vmlinux]  [k] tcp_check_space
     0.29%           127  redis-server     redis-server      [.] je_malloc_usable_size
     0.28%           123  redis-server     [kernel.vmlinux]  [k] do_raw_spin_trylock
     0.27%           117  redis-server     [kernel.vmlinux]  [k] call_function_single_prep_ipi
     0.26%           114  redis-server     [kernel.vmlinux]  [k] nf_hook_slow
     0.26%           113  redis-server     [kernel.vmlinux]  [k] __tcp_cleanup_rbuf
     0.26%           112  redis-server     [kernel.vmlinux]  [k] entry_SYSRETQ_unsafe_stack
     0.26%           114  redis-server     redis-server      [.] je_malloc
     0.25%           111  redis-server     [kernel.vmlinux]  [k] kmem_cache_free
     0.25%           112  redis-server     [kernel.vmlinux]  [k] newidle_balance
     0.25%           110  redis-server     [kernel.vmlinux]  [k] idle_cpu
     0.25%           111  redis-server     libc.so.6         [.] epoll_wait
     0.25%           112  redis-server     [kernel.vmlinux]  [k] ___slab_alloc
     0.25%           108  redis-server     [kernel.vmlinux]  [k] tcp_gro_receive
     0.24%           105  redis-server     [mlx5_core]       [k] mlx5e_sq_xmit_mpwqe
     0.23%           104  redis-server     [kernel.vmlinux]  [k] tcp_sendmsg_locked
     0.23%            99  redis-server     [kernel.vmlinux]  [k] __alloc_skb
     0.23%           100  redis-server     [kernel.vmlinux]  [k] sock_read_iter
     0.22%            99  redis-server     [mlx5_core]       [k] mlx5e_poll_tx_cq
     0.22%           100  redis-server     [kernel.vmlinux]  [k] native_irq_return_iret
     0.22%            93  redis-server     [kernel.vmlinux]  [k] __might_sleep
     0.21%            93  redis-server     [kernel.vmlinux]  [k] __rcu_read_unlock
     0.21%            92  redis-server     [kernel.vmlinux]  [k] tcp_clean_rtx_queue.constprop.0
     0.20%            87  redis-server     redis-server      [.] processMultibulkBuffer
     0.20%            87  redis-server     [kernel.vmlinux]  [k] __schedule
     0.20%            88  redis-server     [nf_nat]          [k] nf_nat_inet_fn
     0.20%            87  redis-server     [kernel.vmlinux]  [k] do_raw_write_lock
     0.20%            86  redis-server     [kernel.vmlinux]  [k] napi_build_skb
     0.19%            86  redis-server     [kernel.vmlinux]  [k] try_to_wake_up
     0.19%            85  redis-server     [kernel.vmlinux]  [k] inet_gro_receive
     0.19%            86  redis-server     [kernel.vmlinux]  [k] mem_cgroup_uncharge_skmem
     0.19%            82  redis-server     [kernel.vmlinux]  [k] ktime_get
     0.19%            84  redis-server     [kernel.vmlinux]  [k] dev_gro_receive
     0.19%            83  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_8
     0.19%            83  redis-server     [kernel.vmlinux]  [k] sock_def_readable
     0.18%            81  redis-server     [kernel.vmlinux]  [k] napi_pp_put_page
     0.18%            79  redis-server     redis-server      [.] decrRefCount
     0.18%            80  redis-server     [kernel.vmlinux]  [k] ttwu_queue_wakelist
     0.18%            80  redis-server     [kernel.vmlinux]  [k] __local_bh_enable_ip
     0.18%            76  redis-server     [kernel.vmlinux]  [k] __dev_queue_xmit
     0.18%            79  redis-server     [kernel.vmlinux]  [k] tcp_established_options.constprop.0
